story_id	memotest	Questions: generic_texts_id	Simon	Falling-Objects	Unir (par 1,2 .. 2,3 ...etc)	loro_time	loro_repeat	memotestAudio	escuchar	repetir con tarjeta	painting	elegir_frase	labyrinth	rompecabezas	completar (type_carpeta_character)	letra	contar	ordenar	loro_multiple: audio (es el estimulo)-bien(lista)-mal(lista)	arrastrar_grupos	objeto_diferente	imagen_palabras	chico_multiple
animales_de_dany	perro	danyAnimales_1							cancion_sonidoAnimales_1														
	gallina	danyAnimales_2																					
	gato	laminaDanyAnimales_1:2																					
	pollito																						
	caballo																						
	chivo																						
animales_de_dany:2	caballo	laminaDanyAnimales_1			caballo			perro		gato		perro	pollito										
	gallina	danyAnimales3_2:2			gallina			gallina		gallina		gato	gallina										
	chancho	danyAnimales4_3:3			chancho			pollito		burro		loro	chancho										
					burro			gato		chancho		gallina											
										loro													
animales_de_dany:3	zorro	animalesSalvajes2_3							cancion_categoriaAnimales2	zorro		araña											
	mono								cancion_animalesDany@Qomi Qompi:2	mono		elefante											
	puma									puma		oveja											
	ñandu									ñandu		mono											
	quirquincho									quirquincho													
	mosquito									mosquito													
animales_de_dany:4		animalesSalvajes2_3						elefante	cancion_animalesDany@Qomi Qompi	puma	sapo_paint	puma											
								mono		ñandu		ñandu											
								oveja		quirquincho		mosquito											
								araña		mosquito		tatu											
										tatu													
										rana													
animales_de_dany:5	burro	danyAnimales4_3		perro																			
	gallina	danyAnimales4_8:2		gato																			
	ñandu	danyAnimales4_6:2		gallina																			
	puma	categoriaAnimales4_1:3		pollito																			
	rana			-																			
	mosquito			puma																			
				quirquincho																			
				ñandu																			
animales_de_dany:6	marron	danyAnimales2_7																ordenarMensaje					
	negro	danyAnimales4_8:2																ordenarGallina1,ordenarGallina2,ordenarGallina3					
	verde	danyAnimales4_9:3																					
	amarillo	danyAnimales4_10:4																					
	azul	laminaDanyAnimales_6:5																					
	blanco																						
animales_de_dany:7		categoriaColores_1							cancion_animalesDany2@Do'onaxatagui Na Ñacpiolec	marron		marron											
										negro		negro											
										verde		verde											
										amarillo		amarillo											
animales_de_dany:8	azul	danyAnimales4_3									dany_animales_paint	gallinaContenta									rana		
